location,bath,price,total_sqft_int,BHK
Electronic City Phase II,2.0,39.07,1056.0,2
Uttarahalli,2.0,62.0,1440.0,3
Lingadheeranahalli,3.0,95.0,1521.0,3
Kothanur,2.0,51.0,1200.0,2
Old Airport Road,4.0,204.0,2732.0,4
Rajaji Nagar,4.0,600.0,3300.0,4
Whitefield,5.0,295.0,2785.0,4
7th Phase JP Nagar,2.0,38.0,1000.0,2
Gottigere,2.0,40.0,1100.0,2
Sarjapur,3.0,148.0,2250.0,3
Mysore Road,2.0,73.5,1175.0,2
Bisuvanahalli,3.0,48.0,1180.0,3
Ramakrishnappa Layout,4.0,290.0,2770.0,3
Manayata Tech Park,2.0,48.0,1100.0,2
Kengeri,1.0,15.0,600.0,1
Binny Pete,3.0,122.0,1755.0,3
Thanisandra,5.0,380.0,2800.0,4
Bellandur,3.0,103.0,1767.0,3
 Thanisandra,1.0,25.25,510.0,1
Mangammanapalya,3.0,56.0,1250.0,3
Whitefield,3.0,81.0,1610.0,3
Ramagondanahalli,2.0,48.77,1151.0,2
Yelahanka,4.0,186.0,2475.0,4
Hebbal,2.0,123.0,1760.0,3
Kasturi Nagar,3.0,125.0,1925.0,3
Kundalahalli,3.0,125.0,1724.0,3
Uttarahalli,2.0,45.0,1143.0,2
Murugeshpalya,2.0,81.0,1296.0,2
Ganga Nagar,1.0,38.0,600.0,1
Yelahanka,1.0,48.0,660.0,1
Kanakpura Road,2.0,91.79,1330.74,2
Doddathoguru,2.0,33.0,970.0,2
Whitefield,2.0,94.82,1459.0,2
KR Puram,1.0,130.0,800.0,2
Himagiri Meadows,2.0,36.0,869.0,2
Adarsh Nagar,2.0,50.0,1270.0,2
Lakshminarayana Pura,2.0,75.0,1185.0,2
Begur Road,2.0,44.0,1200.0,2
Ramakrishnappa Layout,2.0,185.0,1500.0,2
Govindaraja Nagar Ward,2.0,45.0,840.0,2
Tharabanahalli,3.0,240.0,4395.0,3
Ganga Nagar,2.0,55.0,845.0,2
Whitefield,5.0,650.0,5700.0,4
Varthur,2.0,44.0,1160.0,2
Bommanahalli,8.0,140.0,3000.0,8
Doddathoguru,2.0,62.0,1100.0,2
Gunjur,2.0,43.0,1140.0,2
Marathahalli,2.0,57.0,1220.0,2
Begur Road,2.0,80.58,1358.0,2
Hegde Nagar,3.0,101.0,1569.0,3
Haralur Road,2.0,70.0,1240.0,2
Hennur Road,3.0,140.0,2089.0,3
Kothannur,2.0,48.23,1206.0,2
Kalena Agrahara,2.0,40.0,1150.0,2
Cholanayakanahalli,3.0,205.0,2511.0,3
ISRO Layout,6.0,250.0,4400.0,6
Kodanda Reddy Layout,2.0,105.0,1660.0,3
Yelahanka,2.0,78.0,1326.0,2
Garudachar Palya,2.0,60.8,1325.0,3
Hegde Nagar,7.0,210.0,3000.0,6
Dasanapura,2.0,37.0,708.0,2
Kasavanhalli,2.0,58.06,1060.0,2
Sanjay nagar,2.0,70.0,1000.0,2
 Mysore Highway,2.0,70.0,1450.0,3
Thanisandra,2.0,80.0,1296.0,2
Domlur,3.0,90.0,1540.0,3
Kengeri,4.0,245.0,2894.0,4
Sarjapura - Attibele Road,2.0,48.0,1330.0,3
Devasthanagalu,2.0,65.0,1200.0,2
T Dasarahalli,3.0,90.0,1200.0,3
Kothanur,2.0,150.0,2400.0,3
Green View Layout,2.0,43.0,1007.0,2
Shantiniketan Layout,2.0,50.0,1200.0,2
Peenya,2.0,49.9,966.0,2
Rajaji Nagar,3.0,229.0,1640.0,3
Jalahalli West,2.0,55.68,782.0,2
Devanahalli,2.0,66.78,1260.0,2
Lakshmiamma Garden,3.0,120.0,1800.0,3
Byatarayanapura,2.0,75.0,1413.0,3
Ramamurthy Nagar,4.0,225.0,3700.0,4
